SMILES,atom undefined stereo count,bond defined stereo count,complexity,hydrogen bond donors,hydrogen bond acceptors,rotatable bonds,heavy atom count,heavy atom molecular weight,LogP,monoisotopic weight,molar refractivity,total charge,topological polar surface area,quantitative estimate of drug-likeness,molecular complexity index,number of valence electrons,radical electrons,Acute toxicity,Flammability,Instability,Skin Toxicity,Respiratory Toxicity,Eye Toxicity,Environmental Toxicity,domain_status
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+]2([O-])OO2)c1,0,0,524.2369557,1,8,3,17,242.079,0.8055,244.9920141,48.7466,0,154.63,0.204506326,524.2369557,90,0,2,3,0,4,4,4,4,in-domain
O.O=[N+]([O-])c1ccc([O-])c([N+](=O)[O-])c1.[Rb+],0,0,381.8849106,0,5,2,15,281.542,-3.2441,285.9265506,42.8106,0,140.84,0.41459805,381.8849106,76,0,3,3,0,4,4,4,4,in-domain
Nc1cc([N+](=O)[O-])ccc1O.Nc1cc([N+](=O)[O-])ccc1O.O.O,0,0,660.6992029,4,8,2,24,328.152,0.1158,344.0968135,85.5748,0,241.78,0.251241608,660.6992029,132,0,4,3,2,4,4,4,4,out-of-domain
O.O=[N+]([O-])c1ccc([O-])c([N+](=O)[O-])c1.[NH4+],0,0,379.1300231,1,5,2,15,210.081,0.1281,219.049135,48.7954,0,177.34,0.546858502,379.1300231,84,0,3,2,0,4,4,4,4,out-of-domain
NOc1ccc(N([O-])O)cc1[N+](=O)[O-],0,0,353.3202548,2,7,3,14,194.082,0.5407,200.0312939,45.5443,-1,124.92,0.538162497,353.3202548,76,0,3,2,2,4,2,4,4,in-domain
O=[N+]([O-])c1cc([N+](=O)[O-])c(O[Hg+])c([N+](=O)[O-])c1,0,0,481.3256502,0,7,4,17,426.67,1.2518,429.9593688,47.0332,1,138.65,0.399233986,481.3256502,84,0,2,3,0,4,4,4,4,out-of-domain
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)OP)c1,0,0,516.5756502,1,7,4,17,257.054,1.3407,261.9859626,55.498,1,135.82,0.490592102,516.5756502,90,0,2,3,2,4,4,4,4,in-domain
CO/N=N\Oc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0,1,473.4317655,0,8,5,17,236.099,1.8104,242.0287339,52.2438,0,129.46,0.439234281,473.4317655,90,0,2,3,3,4,4,4,4,in-domain
O=[N+]([O-])c1cc(P)c(O)c([N+](=O)[O-])c1,0,0,418.9280452,1,5,2,14,211.049,0.709,215.9936079,50.7596,0,106.51,0.44460643,418.9280452,74,0,2,2,1,4,4,4,4,in-domain
C=Nc1cc([N+](=O)[O-])ccc1O,0,0,335.4234152,1,4,2,12,160.088,1.6325,166.0378421,43.9702,0,75.73,0.411779052,335.4234152,62,0,4,2,1,4,4,4,4,in-domain
O=[N+]([O-])c1ccc(OP(O)(O)=S)c([N+](=O)[O-])c1,0,0,527.0952463,2,6,4,17,275.114,1.0909,279.9555081,59.1014,0,135.97,0.474765007,527.0952463,92,0,3,3,1,4,4,4,4,in-domain
O=[N+]([O-])c1cc([N+](=O)[O-])c(O[Sn+3])c([N+](=O)[O-])c1,0,0,481.3256502,0,7,4,17,344.791,0.8735,347.8898234,52.7872,3,138.65,0.447352212,481.3256502,84,0,3,3,1,4,4,4,4,in-domain
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1I,0,0,418.9280452,1,5,2,14,306.979,1.8132,309.9086692,54.1326,0,106.51,0.509130956,418.9280452,74,0,2,3,0,4,4,4,4,in-domain
Oc1ccc(N(O)O)cc1N(O)O,0,0,301.0761273,5,7,2,13,180.075,0.5618,188.0433214,40.2108,0,107.63,0.431363367,301.0761273,72,0,3,2,1,4,4,4,4,in-domain
Nc1ccc(O)c([NH+]([O-])O)c1,1,0,262.0043502,4,4,1,11,148.077,-0.6222,156.0534921,38.2954,0,93.98,0.18846769,262.0043502,60,0,3,1,3,3,4,4,4,in-domain
[O-][NH+](O)c1cc([NH+]([O-])O)c(O)c([NH+]([O-])O)c1,3,0,351.3800672,7,7,3,16,226.08,-3.3976,235.0440496,45.4354,0,163.42,0.162892204,351.3800672,90,0,4,2,3,3,2,4,4,out-of-domain
[O-][NH+](O)c1ccc(O)c([NH+]([O-])O)c1,2,0,301.0761273,5,5,2,13,180.075,-1.801,188.0433214,39.6592,0,115.69,0.213155807,301.0761273,72,0,3,2,3,4,2,4,4,in-domain
Oc1c([NH+](O)O)cc([NH+](O)O)cc1[NH+](O)O,0,0,351.3800672,10,7,3,16,226.08,-3.7234,238.065879,40.6939,3,154.93,0.147371777,351.3800672,90,0,4,4,3,4,4,4,4,out-of-domain
Oc1c(N(O)O)cc(N(O)O)cc1N(O)O,0,0,351.3800672,7,10,3,16,226.08,0.1466,235.0440496,46.2628,0,151.33,0.360134045,351.3800672,90,0,3,2,1,4,4,4,4,in-domain
NC(N)=NC(N)=Nc1ccc(O)c([N+](=O)[O-])c1,0,0,505.9820221,4,4,2,17,228.127,-0.48,238.0814382,61.8534,0,166.15,0.234704579,505.9820221,90,0,3,1,0,4,4,4,4,out-of-domain
